id,public_name,lat,lng,address,postal_code
bukitpanjang-jeleburoad-blk181a-deck1a,Bukit Panjang/Jelebu Road/Blk 181A/Deck 1A,1.379109,103.763191,181A Jelebu Road,671181
woodlands-woodlandscrescent-blk788a-deck1a,Woodlands/Woodlands Crescent/Blk 788A/Deck 1A,1.444165,103.801834,788A Woodlands Crescent,731788
woodlands-woodlandsdrive50-blk889-deck1a,Woodlands/Woodlands drive 50/Blk 889/Deck 1A,1.437933,103.793715,889 Woodlands Drive 50,730889
bukitmerah-1cantonmentroad-blk1-deck1,Central/1 Cantonment Road/Blk 1/Deck 1,1.277251,103.841694,1 Cantonment Road,80001
woodlands-woodlanddrive14-blk505a-deck1,Woodlands/Woodland Drive 14/Blk 505A/Deck 1,1.432081,103.791669,505A Woodlands Drive 14,731505
woodlands-woodlandsdrive73-blk686-deck1,Woodlands/Woodlands Drive 73/Blk 686/Deck 1,1.442897,103.806107,686 Woodlands Drive 73,730686
bukitmerah-deltaavenue-blk4,Bukit Merah/Delta Avenue/Blk 4,1.292133,103.82644,Blk 1/5 Delta Avenue,160005
kallang-geylangbahru-blk60a-deck1a,Kallang/Geylang Bahru/Blk 60A/Deck 1A,1.322882,103.868614,60A Geylang Bahru,331060
bukitpanjang-jelapangroad-blk518a-deck2a,Bukit Panjang/Jelapang Road/Blk 518A/Deck 2A,1.386632,103.766896,518A Jelapang Road,671518
angmokio-angmokiostreet31-blk316b-deck1b,Ang Mo Kio/Ang Mo Kio Street 31/Blk 316B/Deck 1B,1.364667,103.847667,316B Ang Mo Kio Street 31,563316
punggol-punggoldrive-blk676-deck2,Punggol/Punggol Drive/Blk 676/Deck 2,1.405261,103.91019,676 Punggol Drive,820676
geylang-circuitroad-blk17-deck2a,Geylang/Circuit Road/Blk 17/Deck 2A,1.329583,103.888298,17 Circuit Road,370017
clementi-clementiweststreet1-blk602,Clementi/Clementi West Street 1/Blk 602,1.304373,103.766838,Blk 602 Clementi West Street 1,120601
marineparade-marinedrive-blk65a-deck1,Marine Parade/Marine Drive/Blk 65A/Deck 1,1.302872,103.90992,65A Marine Drive,441065
jurongwest-boonlaydrive-blk188,Jurong West/Boon Lay Drive/Blk 188,1.344062,103.711245,188 Boon Lay Drive,640188
jurongeast-pandangardens-blk414,Jurong East/Pandan Gardens/Blk 414,1.319852,103.747609,414 Pandan Gardens,600414
bukittimah-tohyidrive-blk5,Bukit Timah/Toh Yi Drive/Blk 5,1.338165,103.775112,Blk 1/19 Toh Yi Drive,591501
hougang-hougangavenue8-blk436,Hougang/Hougang Avenue 8/Blk 436,1.377398,103.8939,436 Hougang Avenue 8,530436
choachukang-choachukangavenue5-blk486a-deck2b,Choa Chu Kang/Choa Chu Kang Avenue 5/Blk 486A/Deck 2B,1.375141,103.73838,486A Choa Chu Kang Avenue 5,681486
bedok-chaicheeavenue-blk37,Bedok/Chai Chee Avenue/Blk 37,1.325325,103.925817,37 Chai Chee Avenue,461037
tampines-tampinesstreet22-blk274,Tampines/Tampines Street 22/Blk 274,1.348438,103.950524,Blk 272/275 Tampines Street 22,520275
kallang-geylangbahru-blk73,Kallang/Geylang Bahru/Blk 73,1.322514,103.870862,73 Geylang Bahru,330073
bukitmerah-jalanbukitmerah-blk28,Bukit Merah/Jalan Bukit Merah/Blk 28,1.28625,103.809979,28 Jalan Bukit Merah,152028
clementi-westcoastdrive-blk501,Clementi/West Coast Drive/Blk 501,1.311329,103.75908,501 West Coast Drive,120503
choachukang-teckwhyelane-blk110,Choa Chu Kang/Teck Whye Lane/Blk 110,1.378033,103.75166,110 Teck Whye Lane,680110
punggol-edgefieldplains-blk670-deck2b,Punggol/Edgefield Plains/Blk 670/Deck 2B,1.405832,103.913198,670 Edgefield Plains,820670
woodlands-marsilingdrive-blk34a-deck1a,Woodlands/Marsiling Drive/Blk 34A/Deck 1A,1.444603,103.772238,34A Marsiling Drive,731034
woodlands-woodlandsdrive70-blk709a-deck1b,Woodlands/Woodlands Drive 70/Blk 709A/Deck 1B,1.441065,103.798087,709A Woodlands Drive 70,731709
bukitpanjang-senjaroad-blk636-deck1a,Bukit Panjang/Senja Road/Blk 636/Deck 1A,1.38713,103.758408,636 Senja Road,670636
bukitmerah-bukitmerahcentral-blk119-deck1a,Bukit Merah/Bukit Merah Central/Blk 119/Deck 1A,1.282586,103.816794,119 Bukit Merah Central,150119
angmokio-angmokioavenue10-blk544,Ang Mo Kio/Ang Mo Kio Avenue 10/Blk 544,1.373765,103.856048,540/546 Ang Mo Kio Avenue 10,560540
bukitmerah-bukitmerahview-blk129a-deck2a,Bukit Merah/Bukit Merah View/Blk 129A/Deck 2A,1.283532,103.823372,129A Bukit Merah View,151129
jurongeast-tohguanroad-blk285e-deck2a,Jurong East/Toh Guan Road/Blk 285E/Deck 2A,1.337589,103.746921,285E Toh Guan Road,605285
kallang-upperboonkengroad-blk8-deck1a,Kallang/Upper Boon Keng Road/Blk 8/Deck 1A,1.313359,103.870666,8 Upper Boon Keng Road,380008
tampines-tampinesstreet21-blk202a-deck1a,Tampines/Tampines Street 21/Blk 202A/Deck 1A,1.353352,103.952211,202A Tampines Street 21,521202
kallang-bendemeerroad-blk39-deck1a,Kallang/Bendemeer Road/Blk 39/Deck 1A,1.320808,103.866182,39 Bendemeer Road,330039
pasirris-pasirrisstreet71-blk747a-deck2a,Pasir Ris/Pasir Ris Street 71/Blk 747A/Deck 2A,1.378748,103.934078,747A Pasir Ris Street 71,511747
bukittimah-queensroad-blk4-deck1a,Bukit Timah/Queens Road/Blk 4/Deck 1A,1.318738,103.808169,3 Queen's Road,260003
geylang-cassiacrescent-blk56a-deck1a,Geylang/Cassia Crescent/Blk 56A/Deck 1A,1.310085,103.88389,56A Cassia Crescent,392056
bukitbatok-bukitbatokeastavenue6-blk292-deck2a,Bukit Batok/Bukit Batok East Avenue 6/Blk 292/Deck 2A,1.344479,103.755356,292 Bukit Batok East Avenue 6,650292
bukitmerah-kimtianroad-blk126-deck1a,Bukit Merah/Kim Tian Road/Blk 126/Deck 1A,1.282619,103.829378,126 Kim Tian Road,160126
bukitmerah-havelockroad-blk51-deck2b,Bukit Merah/Havelock Road/Blk 51/Deck 2B,1.290048,103.827468,51 Havelock Road,161051
hougang-hougangstreet61-blk688,Hougang/Hougang Street 61/Blk 688,1.37595,103.885492,Blk 685/691 Hougang Street 61,530685
yishun-yishunavenue3-blk769,Yishun/Yishun Avenue 3/Blk 769,1.424284,103.833346,773 Yishun Avenue 3,760773
bukitbatok-bukitbatokstreet31-blk307,Bukit Batok/Bukit Batok Street 31/Blk 307,1.358056,103.748348,301/309 Bukit Batok Street 31,650301
bukitmerah-telokblangahheights-blk70-deck1a,Bukit Merah/Telok Blangah Heights/Blk 70/Deck 1A,1.276491,103.810936,70 Telok Blangah Heights,100070
punggol-punggolcentral-blk650-deck1,Punggol/Punggol Central/Blk 650/Deck 1,1.39716,103.9151,650 Punggol Central,820650
tampines-simeistreet4-blk233,Tampines/Simei Street 4/Blk 233,1.344043,103.956347,221/235 Simei Street 4,520221
